filename,text
selfrecorded/selfrecorded_001.wav,"Hi, main Shubh bol raha hoon, kaise ho aap?"
selfrecorded/selfrecorded_002.wav,"Namaste, aaj mausam bahut accha hai."
selfrecorded/selfrecorded_003.wav,"Kya haal hai bhai, sab theek?"
selfrecorded/selfrecorded_004.wav,"Good morning, aaj ka din kaisa raha?"
selfrecorded/selfrecorded_005.wav,"Thoda busy hoon, baad mein baat karte hain."
selfrecorded/selfrecorded_006.wav,"Chaliye shuru karte hain, ready ho?"
selfrecorded/selfrecorded_007.wav,"Ek minute ruko, main abhi aata hoon."
selfrecorded/selfrecorded_008.wav,"Sorry, thoda late ho gaya main."
selfrecorded/selfrecorded_009.wav,"Kal milte hain, take care."
selfrecorded/selfrecorded_010.wav,"Bye bhai, apna khayal rakhna."
selfrecorded/selfrecorded_011.wav,Mera order kab aayega?
selfrecorded/selfrecorded_012.wav,Order ka status check kar sakte ho?
selfrecorded/selfrecorded_013.wav,Maine kal ek order place kiya tha.
selfrecorded/selfrecorded_014.wav,Delivery date kya hai mere order ki?
selfrecorded/selfrecorded_015.wav,Order number one two three four five hai mera.
selfrecorded/selfrecorded_016.wav,Yeh product return karna hai mujhe.
selfrecorded/selfrecorded_017.wav,Refund kab tak milega mera?
selfrecorded/selfrecorded_018.wav,Courier boy ne call nahi kiya abhi tak.
selfrecorded/selfrecorded_019.wav,"Package damaged aaya hai, replace karo please."
selfrecorded/selfrecorded_020.wav,Tracking link nahi mil raha hai mujhe.
selfrecorded/selfrecorded_021.wav,"Order cancel karna hai, kaise karu?"
selfrecorded/selfrecorded_022.wav,"Payment ho gaya hai, order confirm hua ya nahi?"
selfrecorded/selfrecorded_023.wav,Address change karna hai delivery ka.
selfrecorded/selfrecorded_024.wav,Kitne din mein deliver hoga yeh item?
selfrecorded/selfrecorded_025.wav,COD available hai kya is product par?
selfrecorded/selfrecorded_026.wav,Wrong item aaya hai mere order mein.
selfrecorded/selfrecorded_027.wav,Invoice chahiye mujhe is order ki.
selfrecorded/selfrecorded_028.wav,Delivery boy ne wrong address par deliver kar diya.
selfrecorded/selfrecorded_029.wav,Exchange kar sakte ho size ka?
selfrecorded/selfrecorded_030.wav,Order history dikhao mujhe please.
selfrecorded/selfrecorded_031.wav,Mera pincode four one one zero one four hai.
selfrecorded/selfrecorded_032.wav,Meeting subah nau baje hai kal.
selfrecorded/selfrecorded_033.wav,Total bill teen sau pachaas rupaye hua.
selfrecorded/selfrecorded_034.wav,Do hazaar chaubis mein maine yeh phone khareeda tha.
selfrecorded/selfrecorded_035.wav,Flight ka time shaam paanch baj kar tees minute hai.
selfrecorded/selfrecorded_036.wav,Ghar ka address flat number bees hai.
selfrecorded/selfrecorded_037.wav,Is mahine ki pandrah tareekh ko delivery hogi.
selfrecorded/selfrecorded_038.wav,Discount tees percent mil raha hai abhi.
selfrecorded/selfrecorded_039.wav,Warranty do saal ki hai is product par.
selfrecorded/selfrecorded_040.wav,EMI teen hazaar rupaye mahine ki bharni hai.
selfrecorded/selfrecorded_041.wav,Rajesh aur Priya kal market gaye the.
selfrecorded/selfrecorded_042.wav,Aditya ne bola ki woh Sunday ko aayega.
selfrecorded/selfrecorded_043.wav,Meri behen ka naam Ananya hai.
selfrecorded/selfrecorded_044.wav,Venkatesh ji ne meeting reschedule kar di.
selfrecorded/selfrecorded_045.wav,Fatima aur Arjun dono office mein hain.
selfrecorded/selfrecorded_046.wav,Mera dost Siddharth Bangalore mein rehta hai.
selfrecorded/selfrecorded_047.wav,Lakshmi aunty ne bahut acchi biryani banayi.
selfrecorded/selfrecorded_048.wav,Mohammed bhai ki dukaan yahin paas mein hai.
selfrecorded/selfrecorded_049.wav,Kavya aur Rohan ki shaadi agle mahine hai.
selfrecorded/selfrecorded_050.wav,Iyer sir ne project appreciate kiya.
selfrecorded/selfrecorded_051.wav,Yeh toh bahut mazedaar tha <laugh>
selfrecorded/selfrecorded_052.wav,"Uff, itna kaam abhi baaki hai <sigh>"
selfrecorded/selfrecorded_053.wav,"Kya baat hai, bahut badhiya kiya tumne <laugh>"
selfrecorded/selfrecorded_054.wav,Yeh order phir se late ho gaya <angry>
selfrecorded/selfrecorded_055.wav,"Wah, kitna accha surprise hai yeh <excited>"
selfrecorded/selfrecorded_056.wav,Mujhe nahi pata tha yeh itna mushkil hoga <sigh>
selfrecorded/selfrecorded_057.wav,"Finally ho gaya, bahut maza aaya <laugh>"
selfrecorded/selfrecorded_058.wav,"Yaar yeh third time hai, ab toh gussa aa raha hai <angry>"
selfrecorded/selfrecorded_059.wav,"Itni jaldi result aa gaya, main toh khush hoon <excited>"
selfrecorded/selfrecorded_060.wav,"Chalo koi baat nahi, agli baar dekhenge <sigh>"
selfrecorded/selfrecorded_061.wav,"Main office se abhi nikal raha hoon, traffic bahut hai."
selfrecorded/selfrecorded_062.wav,Weekend par hum trip plan kar rahe hain.
selfrecorded/selfrecorded_063.wav,Yeh laptop bahut slow chal raha hai aajkal.
selfrecorded/selfrecorded_064.wav,Mujhe ek achhi recipe chahiye dinner ke liye.
selfrecorded/selfrecorded_065.wav,School mein exams start hone wale hain.
selfrecorded/selfrecorded_066.wav,Is app ka new update bahut smooth hai.
selfrecorded/selfrecorded_067.wav,"Mummy ne bola khana ready hai, aa jao."
selfrecorded/selfrecorded_068.wav,Meeting ke liye slides ready kar liye maine.
selfrecorded/selfrecorded_069.wav,Bahut din ho gaye hum log mile nahi.
selfrecorded/selfrecorded_070.wav,Yeh movie dekhne layak hai ya nahi?
selfrecorded/selfrecorded_071.wav,Internet connection bahut slow chal raha hai ghar par.
selfrecorded/selfrecorded_072.wav,Kal se gym phir se start karna hai.
selfrecorded/selfrecorded_073.wav,Yeh shirt kis size mein available hai?
selfrecorded/selfrecorded_074.wav,Rent is mahine time par bhar diya maine.
selfrecorded/selfrecorded_075.wav,Bike service karwani hai is weekend mein.
selfrecorded/selfrecorded_076.wav,College ke friends se baat hui kal.
selfrecorded/selfrecorded_077.wav,Naya restaurant khula hai society ke paas.
selfrecorded/selfrecorded_078.wav,Interview kaisa gaya tumhara aaj?
