filename,text
public/en_00000.wav,the house of the strong wind.
public/en_00001.wav,scattered bits of soot hanging loosely all.
public/en_00002.wav,that could not be shut properly.
public/en_00003.wav,a few dry leaves from the nearby.
public/en_00004.wav,tree intruding into the room through the broken ventilator.
public/en_00005.wav,panes the powerful bulb gradually losing its brightness.
public/en_00006.wav,to become like a piece of ember and give.
public/en_00007.wav,credence to the impending danger inside the room.
public/en_00008.wav,all these happenings terrified me.
public/en_00009.wav,making a clear impact on both my.
public/en_00010.wav,mental and physical faculties.
public/en_00011.wav,yet i did not look around me.
public/en_00012.wav,for help and scream like a terrified child.
public/en_00013.wav,for the last hopes of survival.
public/en_00014.wav,because besides me there was no one else.
public/en_00015.wav,in the lonely guest house at that hour of the night.
public/en_00016.wav,there was no chance that bhabaprasad who stayed.
public/en_00017.wav,in the small house at the other end of the compound.
public/en_00018.wav,could hear me in the rainstorm.
public/en_00019.wav,maybe he was not at home.
public/en_00020.wav,could be that he would have some.
public/en_00021.wav,cheap booze at the paan shop at the crossing.
public/en_00022.wav,about a furlong or so away and spend the night there.
public/en_00023.wav,i knew during our first meeting itself.
public/en_00024.wav,from the way he walked.
public/en_00025.wav,his physical appearance.
public/en_00026.wav,his way of talking that he.
public/en_00027.wav,had the habit of drinking.
public/en_00028.wav,no one had to tell me about it.
public/en_00029.wav,bhabaprasads drinking habit however did not affect his.
public/en_00030.wav,behaviour and hospitality.
public/en_00031.wav,he received me like a very close.
public/en_00032.wav,yet devoted flower.
public/en_00033.wav,taking the small suitcase from my hand.
public/en_00034.wav,and placing it gently on the stool.
public/en_00035.wav,clearing the dusty layer that had formed.
public/en_00036.wav,on the previously cleaned few articles of furniture.
public/en_00037.wav,with his gamocha removing the lid from the glass of.
public/en_00038.wav,water and saying to me the dust on the road.
public/en_00039.wav,must have troubled you a lot.
public/en_00040.wav,as i removed patches of dust with an.
public/en_00041.wav,old towel and wanted to say something.
public/en_00042.wav,bhabaprasad said the road has not been.
public/en_00043.wav,gravelled for a long time.
public/en_00044.wav,about ten or fifteen years ago i.
public/en_00045.wav,had raised the matter with an officer during his.
public/en_00046.wav,visit here a few days later two truckloads of.
public/en_00047.wav,tone chips were sent here one truckload was utilised.
public/en_00048.wav,by the ranger at his bungalow and the remaining.
public/en_00049.wav,ships were scattered here and there.
public/en_00050.wav,now there are no traces of those.
public/en_00051.wav,stone ships left i knew that bhabaprasad wanted to let me.
public/en_00052.wav,know about his connections with important people.
public/en_00053.wav,that was natural because unless.
public/en_00054.wav,something very important cropped up.
public/en_00055.wav,there was no chance of any officer visiting this.
public/en_00056.wav,isolated place and even if anyone came.
public/en_00057.wav,there was no option for him but.
public/en_00058.wav,to put up with the round the clock hospitality and company.
public/en_00059.wav,of bhabaprasad which i had by now understood.
public/en_00060.wav,how often do officers and VIPs come here.
public/en_00061.wav,they hardly come.
public/en_00062.wav,for quite sometime now no one has.
public/en_00063.wav,visited this place.
public/en_00064.wav,why should anyone leave the comforts of.
public/en_00065.wav,city life and come to this jungle apart from.
public/en_00066.wav,the poor condition of the roads there is also.
public/en_00067.wav,no human habitation upto a distance of three to.
public/en_00068.wav,four furlongs from this bungalow.
public/en_00069.wav,the village people must be engaged in agriculture.
public/en_00070.wav,i asked the question like a researcher in social.
public/en_00071.wav,science not that i had any intention of.
public/en_00072.wav,acquiring a thorough knowledge of the lifestyle of the.
public/en_00073.wav,village folk because that information would be of no.
public/en_00074.wav,help in the official work for which i had.
public/en_00075.wav,come here and i didnt think it would help.
public/en_00076.wav,at least in expanding my knowledge my real intention.
public/en_00077.wav,was to keep bhabaprasad busy in the room for.
public/en_00078.wav,some more time because if he left there would.
public/en_00079.wav,be no one to talk to.
public/en_00080.wav,no reply came from bhabaprasad.
public/en_00081.wav,maybe he was a bit hard of.
public/en_00082.wav,hearing he concentrated on opening the two windows.
public/en_00083.wav,the mouth eaten certains hung distortedly no visitor.
public/en_00084.wav,must have noticed them for a long time.
public/en_00085.wav,or even if the tattered curtains had.
public/en_00086.wav,attracted attention.
public/en_00087.wav,no thought must have been given to.
public/en_00088.wav,get them replaced.
public/en_00089.wav,you have nothing to fear about the monkeys.
public/en_00090.wav,they have become like domestic animals.
public/en_00091.wav,bhabaprasad said disinterestedly.
public/en_00092.wav,do they cause any harm or disturbance fear.
